Katana ID (required),Material name,Category,Unit of measure,Purchase UoM,Conversion rate,Sell?,Batch trackable?,Default supplier,Variant code,Material variant,Default sales price,Default lead time,Default storage bin,MOQ,Location,Safety stock,Additional info,Website Name
33920220,A -  Sarom ABELLONE 101,Fabric,m,m,1,no,no,Sarom,FAB0217250202,A -  Sarom ABELLONE 101,,,,,FAM,0,,
33920225,A -  Sarom ABELLONE 102,Fabric,m,m,1,no,no,Sarom,FAB0217250207,A -  Sarom ABELLONE 102,,,,,FAM,0,,
33920230,A -  Sarom ABELLONE 103,Fabric,m,m,1,no,no,Sarom,FAB0217250212,A -  Sarom ABELLONE 103,,,,,FAM,0,,
33920235,A -  Sarom ABELLONE 104,Fabric,m,m,1,no,no,Sarom,FAB0217250217,A -  Sarom ABELLONE 104,,,,,FAM,0,,
33920240,A -  Sarom ABELLONE 105,Fabric,m,m,1,no,no,Sarom,FAB0217250222,A -  Sarom ABELLONE 105,,,,,FAM,0,,
33920245,A -  Sarom ABELLONE 106,Fabric,m,m,1,no,no,Sarom,FAB0217250227,A -  Sarom ABELLONE 106,,,,,FAM,0,,
33920250,A -  Sarom ABELLONE 107,Fabric,m,m,1,no,no,Sarom,FAB0217250232,A -  Sarom ABELLONE 107,,,,,FAM,0,,
33920255,A -  Sarom ABELLONE 108,Fabric,m,m,1,no,no,Sarom,FAB0217250237,A -  Sarom ABELLONE 108,,,,,FAM,0,,
33920260,A -  Sarom ABELLONE 109,Fabric,m,m,1,no,no,Sarom,FAB0217250242,A -  Sarom ABELLONE 109,,,,,FAM,0,,
33920221,A -  Sarom ABELLONE 201,Fabric,m,m,1,no,no,Sarom,FAB0217250203,A -  Sarom ABELLONE 201,,,,,FAM,0,,
33920226,A -  Sarom ABELLONE 202,Fabric,m,m,1,no,no,Sarom,FAB0217250208,A -  Sarom ABELLONE 202,,,,,FAM,0,,
33920231,A -  Sarom ABELLONE 203,Fabric,m,m,1,no,no,Sarom,FAB0217250213,A -  Sarom ABELLONE 203,,,,,FAM,0,,
33920236,A -  Sarom ABELLONE 204,Fabric,m,m,1,no,no,Sarom,FAB0217250218,A -  Sarom ABELLONE 204,,,,,FAM,0,,
33920241,A -  Sarom ABELLONE 205,Fabric,m,m,1,no,no,Sarom,FAB0217250223,A -  Sarom ABELLONE 205,,,,,FAM,0,,
33920246,A -  Sarom ABELLONE 206,Fabric,m,m,1,no,no,Sarom,FAB0217250228,A -  Sarom ABELLONE 206,,,,,FAM,0,,
33920251,A -  Sarom ABELLONE 207,Fabric,m,m,1,no,no,Sarom,FAB0217250233,A -  Sarom ABELLONE 207,,,,,FAM,0,,
33920256,A -  Sarom ABELLONE 208,Fabric,m,m,1,no,no,Sarom,FAB0217250238,A -  Sarom ABELLONE 208,,,,,FAM,0,,
33920261,A -  Sarom ABELLONE 209,Fabric,m,m,1,no,no,Sarom,FAB0217250243,A -  Sarom ABELLONE 209,,,,,FAM,0,,
33920222,A -  Sarom ABELLONE 301,Fabric,m,m,1,no,no,Sarom,FAB0217250204,A -  Sarom ABELLONE 301,,,,,FAM,0,,
33920227,A -  Sarom ABELLONE 302,Fabric,m,m,1,no,no,Sarom,FAB0217250209,A -  Sarom ABELLONE 302,,,,,FAM,0,,
33920232,A -  Sarom ABELLONE 303,Fabric,m,m,1,no,no,Sarom,FAB0217250214,A -  Sarom ABELLONE 303,,,,,FAM,0,,
33920237,A -  Sarom ABELLONE 304,Fabric,m,m,1,no,no,Sarom,FAB0217250219,A -  Sarom ABELLONE 304,,,,,FAM,0,,
